Timestamp,CPU_Total_Percent,RAM_Used_Percent,Bytes_Sent_Total,Bytes_Recv_Total
2025-06-05 09:56:09,0.0,20.5,11796967,234294862
2025-06-05 09:56:47,2.7,20.5,11813633,234312392
